KEY,TIMESTAMP,time_to_exp,open_bet,close_bet,avg_price_up,high_bet,low_bet,total_volume,trade_count,stock_open_day,stock_close,stock_avg_period,stock_vol,poly_vol_imbalance,bs_neutral_prob,true_sentiment,next_stock_move,curr_stock_move,next_true_sent,abs_sentiment
GOOGL,2026-04-09 16:35:00,3.3497222222222227,0.75,0.76,0.755,0.76,0.75,129.3635,4,318.489990234375,318.8599853515625,318.75499471028644,0.14803115037178244,-0.006882355931968509,0.6322760234167337,0.12272397658326628,-0.0010354307722535373,-0.0009718292279848138,0.04695396078267877,0.12272397658326628
GOOGL,2026-04-09 16:45:00,3.1786111111111097,0.73,0.67,0.6852380952380953,0.73,0.63,70.1898,21,318.489990234375,318.5299987792969,318.19666544596356,0.15673138951424978,0.09026989841956201,0.5155601578721503,0.16967793736594505,0.00037664433907329053,-0.0010354307722535373,-0.05473252243885429,0.16967793736594505
GOOGL,2026-04-09 16:50:00,3.1274999999999977,0.67,0.68,0.6725,0.71,0.63,14.3425,8,318.489990234375,318.6499938964844,318.43166097005206,0.15691170932907678,1.3726426186333072,0.5575545850729092,0.11494541492709076,3.141254856882192e-05,0.00037664433907329053,0.044116795302415635,0.11494541492709076
GOOGL,2026-04-09 16:55:00,3.012500000000003,0.73,0.7235,0.7208749999999999,0.73,0.71,65.1591,4,318.489990234375,318.6600036621094,318.538330078125,0.15766352767833805,-0.11423287635552237,0.5618127897704935,0.1590622102295064,0.00021966872053649937,3.141254856882192e-05,-0.03487820072700065,0.1590622102295064
GOOGL,2026-04-09 17:00:00,2.971388888888889,0.73,0.69,0.714,0.73,0.69,83.5309,5,318.489990234375,318.7300109863281,318.5299987792969,0.15244643549435946,-0.22952734209410774,0.5898159904974942,0.12418400950250574,0.0010661535288032985,0.00021966872053649937,-0.04133279651234023,0.12418400950250574
GOOGL,2026-04-09 17:05:00,2.8647222222222233,0.78,0.8,0.792,0.8,0.78,158.933,5,318.489990234375,319.07000732421875,318.836669921875,0.15287323161512242,-0.1424923301680059,0.7091487870098345,0.08285121299016551,0.0014719509368287668,0.0010661535288032985,-0.12608257133961764,0.08285121299016551
GOOGL,2026-04-09 17:15:00,2.669166666666669,0.79,0.84,0.8334142857142857,0.87,0.79,166.2235,7,318.489990234375,319.5400085449219,319.2433268229167,0.1358130296094028,-0.0741085321614322,0.8766456440637378,-0.04323135834945213,-6.265305709327974e-05,0.0014719509368287668,0.00047624155194536666,0.04323135834945213
GOOGL,2026-04-09 17:20:00,2.6241666666666674,0.84,0.84,0.83,0.84,0.82,22.711199999999998,4,318.489990234375,319.5199890136719,319.27100626627606,0.13658950779437765,1.1739057521381855,0.8727551167975067,-0.042755116797506765,-0.0008923724822829259,-6.265305709327974e-05,0.059741028700677545,0.042755116797506765
GOOGL,2026-04-09 17:25:00,2.5080555555555577,0.81,0.81,0.81,0.81,0.81,18.1,2,318.489990234375,319.2349853515625,319.0783284505208,0.1411934816056003,-0.19000000000000006,0.7930140880968293,0.01698591190317078,0.0004541688997608181,-0.0008923724822829259,-0.07062662962854149,0.01698591190317078
GOOGL,2026-04-09 17:35:00,2.366388888888892,0.8,0.8,0.8000000000000002,0.8,0.8,300.0,3,318.489990234375,319.3800048828125,319.211669921875,0.13466321768559394,0.0,0.8536407177253709,-0.05364071772537071,-3.1341731900827464e-05,0.0004541688997608181,0.042294052998638754,0.05364071772537071
GOOGL,2026-04-09 17:40:00,2.2791666666666686,0.86,0.86,0.8466666666666667,0.86,0.82,550.8992000000001,12,318.489990234375,319.3699951171875,319.1466573079427,0.1332244085873818,0.0,0.8580133313933986,-0.011346664726731959,0.00031308654719751117,-3.1341731900827464e-05,-0.053928583246856676,0.011346664726731959
GOOGL,2026-04-09 17:45:00,2.214722222222221,0.86,0.86,0.86,0.86,0.86,12.976700000000001,2,318.489990234375,319.4700012207031,319.31333414713544,0.11182766522708788,-0.1399945532988376,0.9252752479735886,-0.06527524797358863,-0.00018782105657265782,0.00031308654719751117,0.019668465082608,0.06527524797358863
GOOGL,2026-04-09 17:50:00,2.159166666666664,0.87,0.87,0.87,0.87,0.87,2.5748,2,318.489990234375,319.4100036621094,319.20050048828125,0.11140202119054957,0.0,0.9156067828909806,-0.045606782890980635,-0.0009133359576057316,-0.00018782105657265782,0.08141985801669094,0.045606782890980635
GOOGL,2026-04-09 17:55:00,2.0486111111111143,0.86,0.86,0.86,0.86,0.86,1.4592,2,318.489990234375,319.118408203125,319.02943929036456,0.11564453482052532,6.142857142857143,0.8241869248742897,0.0358130751257103,6.770437975324789e-05,-0.0009133359576057316,-0.13337453560290413,0.0358130751257103
